run_date,group,ticker,sector,er_multiple_field,er_multiple_value,er_anchor_xs,er_anchor_own,er_anchor_operative,er_anchor_divergence_pct,er_anchor_divergence,er_rerate_status,er_rerate,er_growth,er_yield,expected_return_12_24m,er_confidence,er_growth_clamped,er_rerate_clamped,er_anchor_mode
20260724,NASDAQ,ASND,Healthcare,fwd_pe,23.86293,18.3383,,18.3383,,False,cross_sectional,-2.5,-21.5,-3.8,-27.8,0.5,False,True,cross_sectional_primary
20260724,NASDAQ,ASTH,Healthcare,fwd_pe,11.98538,18.3383,,18.3383,,False,cross_sectional,10.0,50.0,-2.4,57.6,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,ATAT,Consumer Cyclical,fwd_pe,11.676856,15.9096,,15.9096,,False,cross_sectional,10.0,50.0,-0.5,59.5,0.9,True,True,cross_sectional_primary
20260724,NASDAQ,ATRO,Industrials,ev_ebitda,27.641,18.257,,18.257,,False,cross_sectional,-2.5,50.0,-5.0,42.5,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,AVGO,Technology,fwd_pe,20.167343,21.4425,,21.4425,,False,cross_sectional,0.0,50.0,-6.6,43.4,0.9,True,False,cross_sectional_primary
20260724,NASDAQ,AVPT,Technology,fwd_pe,23.769798,21.4425,,21.4425,,False,cross_sectional,-1.3,50.0,-10.0,38.7,0.9,True,False,cross_sectional_primary
20260724,NASDAQ,AXGN,Healthcare,fwd_pe,54.549446,18.3383,,18.3383,,False,cross_sectional,-2.5,39.3,-3.6,33.1,0.7,False,True,cross_sectional_primary
20260724,NASDAQ,AXON,Industrials,ev_ebitda,,18.257,,18.257,,False,UNMEASURED,,50.0,-4.5,45.5,0.7,True,False,cross_sectional_primary
20260724,NASDAQ,BATRA,Communication Services,fwd_pe,,13.3686,,13.3686,,False,UNMEASURED,,42.0,-0.5,41.5,0.5,False,False,cross_sectional_primary
20260724,NASDAQ,BATRK,Communication Services,fwd_pe,,13.3686,,13.3686,,False,UNMEASURED,,-13.4,-0.5,-13.9,0.5,False,False,cross_sectional_primary
20260724,NASDAQ,BCPC,Basic Materials,ev_ebitda,20.231,16.93,,16.93,,False,cross_sectional,-2.1,10.6,-0.2,8.2,0.9,False,False,cross_sectional_primary
20260724,NASDAQ,BCRX,Healthcare,fwd_pe,9.38,18.3383,,18.3383,,False,cross_sectional,10.0,41.2,-6.6,44.6,0.5,False,True,cross_sectional_primary
20260724,NASDAQ,BELFA,Technology,fwd_pe,26.061554,21.4425,15.8,21.4425,35.7,True,cross_sectional,-2.3,-25.0,0.5,-26.8,0.5,True,False,cross_sectional_primary
20260724,NASDAQ,BELFB,Technology,fwd_pe,29.067223,21.4425,,21.4425,,False,cross_sectional,-2.5,-25.0,0.5,-27.0,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,BGC,Financial Services,fwd_pe,7.3091483,15.3078,,15.3078,,False,cross_sectional,10.0,50.0,0.9,60.9,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,BIDU,Communication Services,fwd_pe,12.366592,13.3686,,13.3686,,False,cross_sectional,0.0,-25.0,1.7,-23.3,0.5,True,False,cross_sectional_primary
20260724,NASDAQ,BILI,Communication Services,fwd_pe,13.000848,13.3686,,13.3686,,False,cross_sectional,0.0,23.9,-3.7,20.3,0.7,False,False,cross_sectional_primary
20260724,NASDAQ,BKR,Energy,ev_ebitda,11.626,7.656,,7.656,,False,cross_sectional,-2.5,50.0,1.0,48.5,0.5,True,True,cross_sectional_primary
